name,width,A_words,B_words,total_words,A_phases,B_phases,A_window,B_window,max_number_of_accumulation,reason_for_stopping_the_accumulation
word width: 3 | bus A window: 22 | bus B window: 7,3,2,2,4,"[0, 25]","[0, 10]",22,7,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 22 | bus B window: 8,3,2,2,4,"[0, 25]","[0, 11]",22,8,40,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 22 | bus B window: 9,3,2,2,4,"[0, 25]","[0, 12]",22,9,40,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 22 | bus B window: 10,3,2,2,4,"[0, 25]","[0, 13]",22,10,19,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 22 | bus B window: 11,3,2,2,4,"[0, 25]","[0, 14]",22,11,9,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 22 | bus B window: 12,3,2,2,4,"[0, 25]","[0, 15]",22,12,4,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 22 | bus B window: 13,3,2,1,3,"[0, 25]",[0],22,13,+10000,more than 10000 accumulations
word width: 3 | bus A window: 23 | bus B window: 4,3,2,3,5,"[0, 26]","[0, 7, 14]",23,4,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 23 | bus B window: 5,3,2,2,4,"[0, 26]","[0, 8]",23,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 23 | bus B window: 6,3,2,2,4,"[0, 26]","[0, 9]",23,6,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 23 | bus B window: 7,3,2,2,4,"[0, 26]","[0, 10]",23,7,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 23 | bus B window: 8,3,2,2,4,"[0, 26]","[0, 11]",23,8,40,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 23 | bus B window: 9,3,2,2,4,"[0, 26]","[0, 12]",23,9,19,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 23 | bus B window: 10,3,2,2,4,"[0, 26]","[0, 13]",23,10,9,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 23 | bus B window: 11,3,2,2,4,"[0, 26]","[0, 14]",23,11,4,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 23 | bus B window: 12,3,2,2,4,"[0, 26]","[0, 15]",23,12,1,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 23 | bus B window: 13,3,2,1,3,"[0, 26]",[0],23,13,+10000,more than 10000 accumulations
word width: 3 | bus A window: 24 | bus B window: 4,3,2,3,5,"[0, 27]","[0, 7, 14]",24,4,1,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 24 | bus B window: 5,3,2,2,4,"[0, 27]","[0, 8]",24,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 24 | bus B window: 6,3,2,2,4,"[0, 27]","[0, 9]",24,6,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 24 | bus B window: 7,3,2,2,4,"[0, 27]","[0, 10]",24,7,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 24 | bus B window: 8,3,2,2,4,"[0, 27]","[0, 11]",24,8,19,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 24 | bus B window: 9,3,2,2,4,"[0, 27]","[0, 12]",24,9,9,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 24 | bus B window: 10,3,2,2,4,"[0, 27]","[0, 13]",24,10,4,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 24 | bus B window: 11,3,2,2,4,"[0, 27]","[0, 14]",24,11,1,Overflow in bus O: A word is located outside the bus O
word width: 3 | bus A window: 24 | bus B window: 13,3,2,1,3,"[0, 27]",[0],24,13,+10000,more than 10000 accumulations
word width: 3 | bus A window: 25 | bus B window: 4,3,1,3,4,[0],"[0, 7, 14]",25,4,1,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 25 | bus B window: 5,3,1,2,3,[0],"[0, 8]",25,5,4,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 25 | bus B window: 6,3,1,2,3,[0],"[0, 9]",25,6,9,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 25 | bus B window: 7,3,1,2,3,[0],"[0, 10]",25,7,19,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 25 | bus B window: 8,3,1,2,3,[0],"[0, 11]",25,8,40,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 25 | bus B window: 9,3,1,2,3,[0],"[0, 12]",25,9,82,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 25 | bus B window: 10,3,1,2,3,[0],"[0, 13]",25,10,166,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 25 | bus B window: 11,3,1,2,3,[0],"[0, 14]",25,11,333,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 25 | bus B window: 12,3,1,2,3,[0],"[0, 15]",25,12,667,Overflow in bus O: case 5 or 6 - the LSB position of one word is the same of the MSB position of the other
word width: 3 | bus A window: 25 | bus B window: 13,3,1,1,2,[0],[0],25,13,+10000,more than 10000 accumulations
